rank,front_combo,score
1,01 07 14 33 35,2.12155731899061
2,01 07 26 33 35,2.030700616411967
3,01 07 14 26 33,2.008843642955263
4,01 07 32 33 35,1.9776384953734243
5,01 07 09 14 33,1.9757080610925186
6,01 07 14 27 33,1.9669492706054414
7,01 07 13 14 33,1.9630185776058402
8,01 07 14 32 33,1.9557815219167205
9,01 07 14 26 35,1.9383532830767671
10,07 14 26 33 35,1.93487817855913
11,01 07 09 14 35,1.9052177012140228
12,07 09 14 33 35,1.9017425966963857
13,01 07 14 27 35,1.8964589107269454
14,07 14 27 33 35,1.8929838062093083
15,01 07 13 14 35,1.8925282177273441
16,07 13 14 33 35,1.889053113209707
17,01 07 14 32 35,1.8852911620382247
18,01 07 09 26 33,1.8848513585138758
19,07 14 32 33 35,1.8818160575205876
20,01 14 26 33 35,1.8795386069850015
